user_id,step,timestamp
U030,visited_site,2026-07-20 04:03:00
U001,details_filled,2026-07-20 04:37:00
U095,visited_site,2026-07-20 03:54:00
U120,purchase_completed,2026-07-20 05:04:00
U111,signup_started,2026-07-20 04:23:00
U015,visited_site,2026-07-20 03:46:00
U082,signup_started,2026-07-20 04:15:00
U178,visited_site,2026-07-20 04:04:00
U012,details_filled,2026-07-20 04:39:00
U074,signup_started,2026-07-20 04:23:00
U027,visited_site,2026-07-20 03:55:00
U106,signup_started,2026-07-20 04:17:00
U113,signup_started,2026-07-20 04:10:00
U071,email_verified,2026-07-20 04:42:00
U147,signup_started,2026-07-20 04:10:00
U010,details_filled,2026-07-20 04:09:00
U165,details_filled,2026-07-20 04:23:00
U096,visited_site,2026-07-20 04:02:00
U069,visited_site,2026-07-20 03:53:00
U023,details_filled,2026-07-20 04:37:00
U053,email_verified,2026-07-20 04:15:00
U156,visited_site,2026-07-20 04:03:00
U141,signup_started,2026-07-20 04:24:00
U011,details_filled,2026-07-20 04:35:00
U038,details_filled,2026-07-20 04:00:00
U074,email_verified,2026-07-20 04:15:00
U189,details_filled,2026-07-20 04:12:00
U001,visited_site,2026-07-20 03:51:00
U026,signup_started,2026-07-20 03:55:00
U094,email_verified,2026-07-20 04:31:00
U114,signup_started,2026-07-20 04:20:00
U017,details_filled,2026-07-20 04:30:00
U085,signup_started,2026-07-20 04:00:00
U150,signup_started,2026-07-20 03:52:00
U140,signup_started,2026-07-20 04:14:00
U080,email_verified,2026-07-20 04:23:00
U021,visited_site,2026-07-20 03:36:00
U024,signup_started,2026-07-20 04:10:00
U100,purchase_completed,2026-07-20 04:57:00
U051,email_verified,2026-07-20 04:16:00
U138,signup_started,2026-07-20 03:52:00
U164,visited_site,2026-07-20 03:50:00
U002,visited_site,2026-07-20 04:01:00
U007,visited_site,2026-07-20 04:05:00
U087,email_verified,2026-07-20 04:28:00
U016,details_filled,2026-07-20 04:30:00
U005,signup_started,2026-07-20 03:46:00
U178,details_filled,2026-07-20 04:30:00
U029,details_filled,2026-07-20 04:16:00
U069,email_verified,2026-07-20 04:48:00
U155,visited_site,2026-07-20 03:35:00
U092,signup_started,2026-07-20 04:24:00
U047,visited_site,2026-07-20 03:38:00
U023,signup_started,2026-07-20 03:45:00
U073,signup_started,2026-07-20 04:13:00
U042,visited_site,2026-07-20 04:02:00
U018,signup_started,2026-07-20 03:52:00
U137,purchase_completed,2026-07-20 04:44:00
U052,signup_started,2026-07-20 03:45:00
U071,visited_site,2026-07-20 03:36:00
U081,email_verified,2026-07-20 04:53:00
U183,details_filled,2026-07-20 04:03:00
U192,details_filled,2026-07-20 04:22:00
U009,visited_site,2026-07-20 03:53:00
U097,visited_site,2026-07-20 03:48:00
U052,email_verified,2026-07-20 04:15:00
U010,signup_started,2026-07-20 03:50:00
U007,signup_started,2026-07-20 04:22:00
U171,details_filled,2026-07-20 04:11:00
U052,visited_site,2026-07-20 03:49:00
U160,visited_site,2026-07-20 04:01:00
U065,visited_site,2026-07-20 04:02:00
U154,details_filled,2026-07-20 04:39:00
U028,signup_started,2026-07-20 04:00:00
U086,email_verified,2026-07-20 04:48:00
U035,signup_started,2026-07-20 03:47:00
U080,visited_site,2026-07-20 03:33:00
U034,signup_started,2026-07-20 04:07:00
U142,signup_started,2026-07-20 03:58:00
U136,visited_site,2026-07-20 03:48:00
U161,details_filled,2026-07-20 04:16:00
U061,email_verified,2026-07-20 04:23:00
U022,signup_started,2026-07-20 04:23:00
U019,signup_started,2026-07-20 04:08:00
U103,signup_started,2026-07-20 04:21:00
U098,signup_started,2026-07-20 04:16:00
U069,signup_started,2026-07-20 04:12:00
U139,signup_started,2026-07-20 03:54:00
U181,visited_site,2026-07-20 03:49:00
U137,visited_site,2026-07-20 04:08:00
U032,visited_site,2026-07-20 03:35:00
U097,email_verified,2026-07-20 04:23:00
U025,visited_site,2026-07-20 03:45:00
U011,signup_started,2026-07-20 04:14:00
U109,purchase_completed,2026-07-20 04:46:00
U065,email_verified,2026-07-20 04:35:00
U091,visited_site,2026-07-20 04:04:00
U123,signup_started,2026-07-20 03:50:00
U079,visited_site,2026-07-20 04:05:00
U013,visited_site,2026-07-20 03:41:00
U158,visited_site,2026-07-20 03:47:00
U148,visited_site,2026-07-20 03:50:00
U145,visited_site,2026-07-20 04:08:00
U161,visited_site,2026-07-20 03:46:00
U134,purchase_completed,2026-07-20 04:32:00
U086,visited_site,2026-07-20 04:02:00
U101,purchase_completed,2026-07-20 04:53:00
U088,visited_site,2026-07-20 04:09:00
U053,visited_site,2026-07-20 03:34:00
U130,purchase_completed,2026-07-20 04:50:00
U110,purchase_completed,2026-07-20 04:58:00
U196,details_filled,2026-07-20 04:14:00
U134,signup_started,2026-07-20 03:52:00
U050,visited_site,2026-07-20 03:31:00
U050,email_verified,2026-07-20 04:25:00
U101,visited_site,2026-07-20 03:43:00
U077,visited_site,2026-07-20 04:05:00
U075,email_verified,2026-07-20 04:44:00
U026,details_filled,2026-07-20 04:02:00
U076,email_verified,2026-07-20 04:51:00
U014,details_filled,2026-07-20 04:20:00
U081,visited_site,2026-07-20 04:07:00
U041,details_filled,2026-07-20 04:01:00
U067,email_verified,2026-07-20 04:31:00
U008,visited_site,2026-07-20 04:08:00
U025,signup_started,2026-07-20 04:23:00
U108,signup_started,2026-07-20 03:52:00
U089,email_verified,2026-07-20 04:32:00
U120,signup_started,2026-07-20 03:51:00
